Time IPL IDF PCO PPS PPL PDF IZ ZS ZM ZL ZG BD BM BF KR FP FM FT FI CEP SF SE SC SL SO PNA PNE PNO SBA SBS SBO WHM WHH WHA WHB WHC WHO PB BB IB DL DR DC DIN RelIPL RelIDF RelPCO RelPPS RelPPL RelPDF RelIZ RelZS RelZM RelZL RelZG RelBD RelBM RelBF RelKR RelFP RelFM RelFT RelFI RelCEP RelSF RelSE RelSC RelSL RelSO RelPNA RelPNE RelPNO RelSBA RelSBS RelSBO RelWHM RelWHH RelWHA RelWHB RelWHC RelWHO RelPB RelBB RelIB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 719575285.513036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2409646752122.398926 124133.376916 25345372901.730335 93904168.819680 753626.019240 0.000000 20447.745105 20447.745105 357835.539336 3118.281128 20882.259688 196298.353007 50096.975507 16869.389712 91503.659344 17891.776967 271188.219454 29138.036774 4805.220100 1012.320000 1012.320000 1012.320000 511.193628 719319688.699225 0.000000 255596.813811 0.000000 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 7589514.352505 0.000000
3.650000e+02 7.191205 8.343726 7.191208 7.191208 7.191208 655786466.087653 7.191205 13.020298 7.345605 7.479817 7.191208 0.002556 0.002556 0.002556 718308081174.325684 0.000000 0.000000 0.000000 0.000000 15.283496 7929187882.152489 44550146842.443634 1019989287196.115845 4543836127.684089 55057262902.770935 1759715820.039957 12097879982.855465 252727191.881890 2339500117.537101 80986261.592675 175129031.441154 173196146704.018860 354973948088.312866 9978185916.949186 8687101799.175797 10550383783.435638 17760346782.195972 10538468392.637489 1.872155 255596.813811 12.627088 0.367475 0.000000 156626848648.296051 1.000000 1.000000 1.000000 1.000000 1.000000 0.911352 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.298097 0.000000 0.000000 0.000000 0.000000 1.000000 387778.106656 2178731.523399 2850441.543873 1457160.512618 2636556.757957 8964.496100 241489.228849 14981.406927 25567.284787 4526.451551 645.784068 5943988.198127 73872567.900536 9856750.747737 8581379.207341 10421984.929109 34742895.495016 14.650605 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 29.000000 1.000000 -640991692.132647 0.000000
7.300000e+02 7.189213 14.999057 7.189216 7.189238 7.189216 981816945.316710 7.189213 39.530522 7.514851 7.811471 7.189216 0.002556 0.002556 0.002556 84349188650.021149 0.000000 0.000000 0.000000 0.000000 16.019568 492334.822194 43587027309.254898 1019625479295.599121 589223506.360569 54968926545.285316 557032405.081597 11593898098.973610 328060668.310002 1815202162.376638 95143461.466856 166504761.917568 130938413877.915466 387194143290.125793 17159709056.654121 17952283196.286057 18950400451.392532 15712970284.614128 13527386898.756289 3.872810 255596.813811 24.983899 0.757637 0.000000 205310413748.876038 1.000000 1.000000 1.000000 1.000000 1.000000 1.364440 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.035005 0.000000 0.000000 0.000000 0.000000 1.000000 24.077707 2131630.020116 2849424.853632 188957.788628 2632326.547299 2837.682520 231429.102888 19447.097608 19837.481642 5317.720070 613.982282 4493728.074112 80577816.470559 16950874.285457 17733802.746450 18719772.849882 30737805.472464 18.805807 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.916667 1.000000 -39800.107585 0.000000
1.095000e+03 7.187361 48.257332 107354064389.433044 5874494225.874162 7.191431 2314811988.092350 7.187221 1565129.673590 7.876061 8.585785 7.187334 0.002556 0.002556 0.002556 0.000974 0.000000 0.000000 0.000000 0.000000 17.152926 79.270428 41232860763.054169 1006301338614.329590 55069146.861845 54374212966.861168 480879913.355697 10159238038.328331 302981041.054969 26842520431.407398 63948041.070633 697516280.695324 116566752340.171967 392247766946.166931 17050702779.260603 18171530790.310741 15517422324.376701 14630410839.985373 2821019099614.391113 5.900066 255596.813811 37.281516 1.153463 0.000000 240964825418.848083 1.000000 1.000000 1.000000 1.000000 1.000000 3.216914 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.003877 2016499.156829 2812189.478113 17660.096891 2603847.178337 2449.739929 202791.444703 17960.403206 293349.147168 3574.158184 2572.074414 4000501.243183 81629510.992608 16843194.621523 17950382.083048 15328574.289135 28620096.279444 3921.787689 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 30.416667 1.000000 -6.408183 0.000000
1.460000e+03 7.185496 196.586200 140026976964.395050 1629345067.524084 7.186936 6340752862.279658 7.185230 14276054.095958 8.987799 12.349031 7.198898 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 17.267596 0.201761 40564494806.701782 1032577244568.746460 21735510.354906 55667989232.334114 434886404.412196 9020235845.355549 281690308.748290 124147590366.670135 46200039.757009 3032496529.788146 102441090269.535965 370989525930.978760 18228607662.609921 20355179330.911926 13486772885.352228 13879611944.236622 8447726464837.552734 7.941734 255596.813811 49.544224 1.552719 0.000000 312924697877.920532 1.000000 1.000000 1.000000 1.000000 1.000000 8.811799 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000010 1983812.620835 2885619.596327 6970.349837 2665802.938144 2215.435829 180055.497444 16698.310583 1356750.006024 2582.194035 11182.257607 3515716.966879 77205521.961025 18006764.326112 20107455.479406 13322637.985372 27151379.035763 11744.050104 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 29.333333 1.000000 -0.016310 0.000000
1.825000e+03 7.186357 849.541162 300684022419.419128 1199431961.590137 7.186778 16218535657.385731 7.186016 275663804.483354 18.225222 185.651717 7.315554 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 16.549550 0.055837 40373963350.655754 1050015424721.484375 12085174.603200 59848596687.310585 400058701.863722 8035081808.137901 248637747.686262 263684160097.846771 36343606.738541 6337318168.604269 91862344738.029800 345858330429.923157 19637348665.322456 22939478865.731808 12169644206.869005 13267503838.237822 15310287918788.902344 9.992750 255596.813811 61.781991 1.954483 0.000000 386667237606.482971 1.000000 1.000000 1.000000 1.000000 1.000000 22.539039 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000003 1974494.651785 2934351.983795 3875.588539 2866001.935636 2038.013543 160390.557051 14738.988899 2881678.852924 2031.302246 23368.707466 3152660.745440 71975543.941310 19398360.859533 22660303.921420 12021538.848258 25953969.535871 21284.399912 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.666667 1.000000 -0.004514 0.000000
2.190000e+03 7.191943 3711.691453 288917238421.924255 6920233464.413491 7.192038 34648047913.698334 7.191470 844338439.739035 578.389050 400908.147489 7.757830 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 15.542823 0.048630 48624479159.922867 1068308030790.400146 8741398.622902 68233934353.580154 365926861.832941 7524934448.451426 219474100.030875 411863642268.229736 28704834.646408 9773687813.578724 82771710820.838181 325450513041.283142 21028365846.040104 25930410821.394989 11292204244.681564 12809091020.065178 23557314737786.605469 12.050451 255596.813811 74.000206 2.358271 0.000000 465341899413.605286 1.000000 1.000000 1.000000 1.000000 1.000000 48.150692 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000002 2377987.348263 2985472.132740 2803.274709 3267555.110024 1864.136180 150207.360271 13010.197985 4501061.981775 1604.359070 36040.237416 2840675.624837 67728534.030123 20772449.271021 25614836.041365 11154777.387270 25057219.667715 32749.436875 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.625000 1.000000 -0.003931 0.000000
2.555000e+03 7.189955 16125.041215 102876734944.985870 3237010896.377206 7.189727 56458684769.104988 7.189479 150718852.985110 251105.739827 4097957.134839 9.018550 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 14.566233 0.053240 57215865829.733032 1155445560529.040771 7590886.371064 80166331076.476547 322265458.097144 7308399464.259305 197467043.360327 555877814901.572144 25008277.585555 13178728057.781574 72845586089.159927 307131825594.255066 22714287235.933872 28912177434.442928 10748753547.612976 12551919772.237940 28254960361482.570312 14.113156 255596.813811 86.202129 2.763775 0.000000 555165993218.089600 1.000000 1.000000 1.000000 1.000000 1.000000 78.461123 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000003 2798150.384614 3228984.920488 2434.317516 3838968.209036 1641.712491 145885.043764 11705.642394 6074924.422525 1397.752589 48596.240959 2500016.959035 63916286.710096 22437852.888349 28560314.361509 10617940.520402 24554139.750574 39280.115372 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.833333 1.000000 -0.004304 0.000000
2.920000e+03 7.187955 70799.202857 161113701002.807495 737039871.857198 7.187829 75729786487.353592 7.187500 196112361.388848 2556145.782255 8780902.560467 12.095172 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 14.163302 0.061035 69210012771.768967 1477194139752.524170 9147090.717753 97557397550.944519 298098577.657831 7188199568.407069 189262935.033151 670174797571.017822 22145859.702476 16400839844.367498 63715426103.123215 291812376944.180176 24224538252.969707 31709724942.000748 10437317622.546274 12557989941.867367 32200185485530.527344 16.179771 255596.813811 98.389963 3.170800 0.000000 662595959496.199951 1.000000 1.000000 1.000000 1.000000 1.000000 105.242339 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000003 3384725.915584 4128137.027685 2933.375902 4671783.562068 1518.599484 143485.699399 11219.311325 7324021.819158 1237.767481 60477.700239 2186675.327384 60728202.016286 23929724.052641 31323815.534614 10310294.790725 24566014.252331 44764.777041 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.875000 1.000000 -0.004934 0.000000
3.285000e+03 7.185942 312939.168566 209727493856.845551 1462873851.147562 7.185789 92885583988.702988 7.185749 230881333.129210 5192815.872907 10455118.076341 19.320423 0.002556 0.002556 0.002556 0.000000 0.000000 0.000000 0.000000 0.000000 13.895151 0.063694 78807309974.971878 1720067452632.530029 10761520.400038 119675309456.356094 283993606.297906 7103989847.196730 183897755.946306 799439937241.128540 19818320.928229 18924383689.746857 54117079038.075394 278183227453.719299 25879920446.828182 34417008501.782356 9990699265.783695 12889164814.754522 36418038550611.187500 18.249509 255596.813811 110.565267 3.579201 0.000000 779975041776.402344 1.000000 1.000000 1.000000 1.000000 1.000000 129.083900 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000003 3854083.155415 4806865.902215 3451.106541 5730955.904309 1446.744723 141804.765164 10901.269050 8736699.089076 1107.677620 69783.207131 1857265.795117 57891880.431047 25564960.137929 33998151.278037 9869111.808305 25213860.498826 50628.446743 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 28.541667 1.000000 -0.005149 0.000000
