Time WHM_juv_0_Migrating_Biomass(tonnes) WHM_juv_0_Total_biomass(tonnes) WHM_juv_0_Prop_Migrating WHM_ad_0_Migrating_Biomass(tonnes) WHM_ad_0_Total_biomass(tonnes) WHM_ad_0_Prop_Migrating WHH_juv_0_Migrating_Biomass(tonnes) WHH_juv_0_Total_biomass(tonnes) WHH_juv_0_Prop_Migrating WHH_ad_0_Migrating_Biomass(tonnes) WHH_ad_0_Total_biomass(tonnes) WHH_ad_0_Prop_Migrating
0.000000e+00 0.000000e+00 3.885072e+03 0.000000e+00 0.000000e+00 2.525297e+04 0.000000e+00 0.000000e+00 4.805220e+02 0.000000e+00 0.000000e+00 4.324698e+03 0.000000e+00
3.650000e+02 0.000000e+00 1.731961e+11 0.000000e+00 0.000000e+00 5.269979e+03 0.000000e+00 0.000000e+00 3.549739e+11 0.000000e+00 0.000000e+00 3.967120e+03 0.000000e+00
7.300000e+02 1.558897e-04 1.309384e+11 1.190557e-15 5.795548e-12 4.459705e+03 1.299536e-15 0.000000e+00 3.871941e+11 0.000000e+00 0.000000e+00 3.678530e+03 0.000000e+00
1.095000e+03 0.000000e+00 1.046964e+11 0.000000e+00 0.000000e+00 1.187040e+10 0.000000e+00 0.000000e+00 3.540459e+11 0.000000e+00 0.000000e+00 3.820183e+10 0.000000e+00
1.460000e+03 0.000000e+00 7.741533e+10 0.000000e+00 3.240979e-05 2.502576e+10 1.295057e-15 3.481681e-04 2.871913e+11 1.212321e-15 0.000000e+00 8.379827e+10 0.000000e+00
1.825000e+03 2.015772e-04 5.693620e+10 3.540404e-15 4.605417e-05 3.492614e+10 1.318616e-15 5.506409e-04 2.228740e+11 2.470638e-15 0.000000e+00 1.229843e+11 0.000000e+00
2.190000e+03 0.000000e+00 4.113736e+10 0.000000e+00 0.000000e+00 4.163435e+10 0.000000e+00 4.241043e-04 1.734572e+11 2.445009e-15 4.125182e-04 1.519934e+11 2.714054e-15
2.555000e+03 3.550554e-05 2.875236e+10 1.234874e-15 1.714563e-04 4.409322e+10 3.888495e-15 0.000000e+00 1.342756e+11 0.000000e+00 0.000000e+00 1.728562e+11 0.000000e+00
2.920000e+03 0.000000e+00 2.040399e+10 0.000000e+00 0.000000e+00 4.331144e+10 0.000000e+00 2.514556e-04 1.055640e+11 2.382020e-15 2.505911e-04 1.862484e+11 1.345467e-15
3.285000e+03 0.000000e+00 1.314849e+10 0.000000e+00 0.000000e+00 4.096859e+10 0.000000e+00 0.000000e+00 8.224912e+10 0.000000e+00 7.862974e-04 1.959341e+11 4.013071e-15
3.649500e+03 0.000000e+00 8.003424e+09 0.000000e+00 0.000000e+00 3.638606e+10 0.000000e+00 1.516384e-04 6.252438e+10 2.425268e-15 0.000000e+00 1.990813e+11 0.000000e+00
