Time IPL-M IDF-M PCO-M PPS-M PPL-M PDF-M IZ-M ZS-M ZM-M ZL-M ZG-M BD-M BM-M BF-M KR-M FP-M FM-M FT-M FI-M CEP-M SF-M SE-M SC-M SL-M SO-M PNA-M PNE-M PNO-M SBA-M SBS-M SBO-M WHM-M WHH-M WHA-M WHB-M WHC-M WHO-M PB-M BB-M IB-M DL-M DR-M DC-M IPL-F IDF-F PCO-F PPS-F PPL-F PDF-F IZ-F ZS-F ZM-F ZL-F ZG-F BD-F BM-F BF-F KR-F FP-F FM-F FT-F FI-F CEP-F SF-F SE-F SC-F SL-F SO-F PNA-F PNE-F PNO-F SBA-F SBS-F SBO-F WHM-F WHH-F WHA-F WHB-F WHC-F WHO-F PB-F BB-F IB-F DL-F DR-F DC-F
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.650000e+02 3.852800e-10 7.705599e-11 7.705755e-11 7.705755e-11 3.852877e-10 3.935824e-16 7.732281e-11 7.708493e-11 4.518087e-10 9.204513e-10 7.709488e-10 5.726622e-16 2.999826e-16 1.636155e-16 6.616945e-01 2.894179e+02 5.946721e+01 5.398990e+01 1.035776e+02 4.001564e-10 1.201754e-25 8.046564e-26 1.712905e-26 1.234188e-25 6.976440e-26 2.280622e-30 1.148014e-30 7.411382e-34 0.000000e+00 0.000000e+00 0.000000e+00 1.087318e-03 2.330317e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.013277e-12 4.813158e-12 0.000000e+00 1.478436e-13 8.324755e-22 2.280391e-16 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.752846e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.294810e-01 5.546776e-02 3.535526e-01 5.228861e-03 2.444478e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.300000e+02 1.992741e-13 3.436187e-14 3.985536e-14 3.985536e-14 1.992768e-13 4.385409e-22 4.449764e-14 2.202023e-14 4.478603e-13 1.236633e-12 3.998553e-13 7.828166e-19 4.100697e-19 2.236587e-19 8.746635e-01 6.056655e+00 1.325087e+02 3.330599e+01 8.251865e+01 1.086753e-12 2.357294e-23 2.050220e-26 2.393374e-27 1.623042e-26 2.236283e-26 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.422579e-03 8.797832e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.233469e-16 1.863485e-17 0.000000e+00 2.224735e-19 3.269638e-28 9.189768e-19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.062356e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.052814e-01 3.795585e-02 9.541954e-02 6.544035e-03 9.527517e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 3.407034e-14 3.267219e-15 6.814168e-15 6.814166e-15 3.407084e-14 8.130354e-23 1.069085e-14 1.239710e-15 2.512421e-13 7.744011e-13 6.922455e-14 7.818770e-19 4.095775e-19 2.233903e-19 8.409615e+00 4.064973e+01 1.395690e+02 6.497336e+01 1.234793e+02 8.937218e-13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.094366e+12 8.869102e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.172854e-16 1.861337e-17 0.000000e+00 1.890294e-19 2.628483e-28 1.004149e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.105031e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.163455e-02 3.013382e-02 4.820269e-02 7.328136e+12 9.090766e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.460000e+03 6.654737e-23 1.192948e-24 1.332237e-18 1.830467e-15 9.234183e-19 3.101584e-19 3.269839e-15 2.508771e-12 2.610053e-13 6.636818e-13 5.754255e-16 7.833588e-19 4.103537e-19 2.238136e-19 3.734984e-16 4.861969e+01 4.281460e+02 8.750516e+01 7.725072e+01 6.821649e-13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.207274e+21 1.345559e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.707059e-16 1.864904e-17 0.000000e+00 8.392999e-22 3.337933e-22 5.314261e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.685431e-02 2.167633e-02 3.130062e-02 5.654882e+20 1.847342e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.825000e+03 6.647480e-23 1.280983e-24 1.528489e-15 3.032863e-20 2.186596e-18 1.439825e-17 3.286043e-15 3.228893e-12 2.302579e-13 6.489013e-13 5.462204e-16 7.821956e-19 4.097444e-19 2.234813e-19 1.868217e-16 1.631272e+02 4.968361e+02 8.390430e+01 9.337747e+01 7.585965e-13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.193487e+13 4.284386e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.528778e-16 1.862160e-17 0.000000e+00 2.682948e-22 2.978354e-22 4.797012e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.632373e-02 1.778752e-02 2.433889e-02 6.246011e+13 6.878634e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.190000e+03 6.713955e-23 1.315309e-24 3.096086e-14 1.047050e-14 4.645852e-17 3.375935e-17 3.553041e-15 1.222045e-10 2.469432e-13 1.373908e-13 6.621648e-16 7.827723e-19 4.100465e-19 2.236460e-19 0.000000e+00 1.788861e+02 4.868692e+02 9.769365e+01 1.193008e+02 8.823664e-13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.448564e-04 1.178785e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.042850e+20 7.061551e+11 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.639393e-16 1.863550e-17 0.000000e+00 5.984222e-22 4.103933e-21 8.301003e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.793541e-13 1.590145e-09 3.278730e-02 2.386207e-02 1.913653e-02 2.522167e+20 1.548758e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.555000e+03 1.449252e-21 1.329160e-24 4.010103e-13 7.762880e-14 2.872724e-16 5.306780e-17 3.726240e-15 1.139820e-09 5.346397e-15 1.641501e-15 8.346944e-16 7.827979e-19 4.100599e-19 2.236534e-19 0.000000e+00 2.395158e+02 4.600598e+02 1.007218e+02 1.292472e+02 9.420141e-13 0.000000e+00 4.216228e-06 6.911765e-05 0.000000e+00 5.986404e-06 0.000000e+00 6.294808e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.145574e+20 5.986038e+11 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.180181e-16 1.863624e-17 0.000000e+00 2.170397e-21 1.624199e-20 3.078094e-17 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.463364e-17 8.361251e-14 0.000000e+00 3.588000e-15 0.000000e+00 2.006740e-12 0.000000e+00 4.647703e-02 2.540180e-02 1.543125e-02 2.459583e+20 1.468445e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.920000e+03 6.372494e-21 1.356266e-24 4.330061e-14 4.541485e-19 1.926168e-17 6.485473e-17 4.808123e-15 2.376105e-11 8.312640e-16 1.347614e-15 1.142759e-15 7.819377e-19 4.096093e-19 2.234076e-19 0.000000e+00 2.919227e+02 5.042432e+02 1.293578e+02 1.761854e+02 1.457168e-12 9.294783e-05 2.224651e-05 1.537014e-04 0.000000e+00 1.542561e-05 7.224956e-02 1.231084e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.262519e+20 6.055922e+14 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.996105e-16 1.861587e-17 0.000000e+00 1.411818e-22 7.604933e-22 3.978772e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.085593e-15 8.716307e-13 0.000000e+00 4.302981e-14 1.951663e-09 8.537032e-12 0.000000e+00 3.254886e-02 1.376603e-02 1.968484e-02 2.948159e+20 1.250601e+15 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.285000e+03 1.087775e-20 1.374246e-24 7.621079e-15 2.830483e-17 1.019113e-17 6.777553e-17 6.214695e-15 1.886417e-12 7.467890e-16 1.148224e-15 1.008513e-15 7.831632e-19 4.102522e-19 2.237576e-19 0.000000e+00 3.782293e+02 4.960524e+02 1.574558e+02 2.248689e+02 1.727544e-12 5.491802e-03 9.117246e-05 2.369721e-04 5.254528e-07 2.457108e-05 0.000000e+00 2.088838e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.717110e+20 2.994829e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.141405e-16 1.864512e-17 0.000000e+00 7.442334e-23 3.192578e-22 3.127350e-18 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.820604e-14 4.156746e-12 9.629078e-21 2.095545e-13 0.000000e+00 2.342572e-11 0.000000e+00 4.616253e-02 1.205618e-02 1.354743e-02 1.157221e+20 4.810210e+19 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
