Time  KR FP FM FT FI SF SE SC SL SO PNA PNE PNO SBA SBS SBO WHM WHH WHA WHB WHC WHO
0.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.650000e+02 1202506361528.022217 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 557735851.523637 18069846.834755 78040497.085683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.300000e+02 316856183793.786194 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 402665706.006538 22726668.278227 76409808.925098 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.095000e+03 10804794168.020702 0.000000 0.000000 0.000000 0.000000 0.102576 683641916.317470 41361995078.304741 0.000000 2234415824.483217 0.000000 1410741459.916807 0.000000 561242889.519618 17799630.250942 147572661.200730 0.000000 0.000000 140602953.575453 175519193.152181 141519942.084907 0.000000
1.460000e+03 0.000001 0.000000 0.000000 0.000000 0.000000 0.000011 3678705566.446450 37718042318.020470 70849.034444 5361072776.128098 36179050.889209 3105527691.114616 0.000000 13348305248.241152 13861044.833298 885779323.996727 0.000000 0.000000 487784017.957605 659447563.099746 382697240.361544 0.000000
1.825000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.003422 16513440668.621632 95436067500.475891 511487.089928 9078911240.774895 50003116.952741 5058612380.278447 80505070.337521 32464180240.071838 11715219.555295 2156771340.779411 0.000000 0.000000 997241441.789483 1416116121.820151 639949649.093950 71956531.981757
2.190000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.019478 18141166119.972599 248321120668.486786 408256.581981 13383747777.461872 101052599.702229 5720434574.672873 120418685.027377 56567674916.676056 10218525.408081 3694833573.490330 0.000000 0.000057 1599887406.367759 2341839663.416238 881661158.807746 231810768.255786
2.555000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.021311 18861230542.694004 328779366873.629028 2824322.061202 18417505887.039055 214947320.794888 6028615405.458921 171138725.595327 80787746390.431198 9128066.643425 5161316814.765390 0.000000 0.000000 2331467634.269606 3455295119.560867 1119872381.019943 473843593.995005
2.920000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.020182 18836154803.131069 383671918498.594482 4614459.506003 21993868066.021034 220473129.043410 6196343644.875013 172854363.217592 106825623018.383484 8150948.166216 6606550504.829488 0.000000 0.000001 3277291755.148328 4919054375.535117 1384988313.966052 786447487.329719
3.285000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.030766 20345069112.292213 446187126542.604126 6864666.347400 21339092606.839920 218088614.018273 6244673351.018701 182651044.911312 132492219425.054626 7375123.427891 7993442366.074866 0.000000 0.000000 4175993754.337370 6341535028.681163 1596744179.767581 1147287949.150390
3.649500e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.032691 24860901927.347622 507023627537.406433 9034681.663026 30935022613.253887 206853279.658806 6257645692.681522 175961439.444128 156899727169.676422 6699983.047296 9347526527.511337 0.000000 0.000000 5168160602.921928 7932222045.281887 1806936338.581614 1578071937.590152
