Time WHM_DEN WHM_SN WHM_RN WHM_Biomass WHH_DEN WHH_SN WHH_RN WHH_Biomass
0.000000e+00 1.277984e+11 1.000000e+00 1.000000e+00 2.913804e+04 2.107553e+10 1.000000e+00 1.000000e+00 4.805220e+03
3.650000e+02 3.363105e+10 1.237656e+07 3.279789e+07 1.731961e+11 2.270846e+10 3.756740e+07 9.955361e+07 3.549739e+11
7.300000e+02 2.508638e+10 1.254387e+07 3.324125e+07 1.309384e+11 1.895712e+10 4.908613e+07 1.300782e+08 3.871941e+11
1.095000e+03 1.950949e+10 1.435922e+07 3.805194e+07 1.165668e+11 1.612630e+10 5.845584e+07 1.549080e+08 3.922478e+11
1.460000e+03 1.578805e+10 1.559542e+07 4.132144e+07 1.024411e+11 1.386292e+10 6.431704e+07 1.704310e+08 3.709895e+11
1.825000e+03 1.346465e+10 1.639636e+07 4.345000e+07 9.186234e+10 1.204520e+10 6.900611e+07 1.828656e+08 3.458583e+11
2.190000e+03 1.161098e+10 1.713238e+07 4.540048e+07 8.277171e+10 1.061312e+10 7.369619e+07 1.952943e+08 3.254505e+11
2.555000e+03 9.709636e+09 1.803038e+07 4.778016e+07 7.284559e+10 9.472978e+09 7.791866e+07 2.064839e+08 3.071318e+11
2.920000e+03 8.023005e+09 1.908587e+07 5.057721e+07 6.371543e+10 8.488390e+09 8.261929e+07 2.189406e+08 2.918124e+11
3.285000e+03 6.615823e+09 1.965870e+07 5.209522e+07 5.411708e+10 7.690834e+09 8.692818e+07 2.303591e+08 2.781832e+11
3.649500e+03 5.256862e+09 2.029354e+07 5.377754e+07 4.438948e+10 6.917947e+09 9.088100e+07 2.408341e+08 2.616057e+11
