Time KR-0 FP-0 FM-0 FT-0 FI-0 SF-0 SE-0 SC-0 SL-0 SO-0 PNA-0 PNE-0 PNO-0 SBA-0 SBS-0 SBO-0 WHM-0 WHH-0 WHA-0 WHB-0 WHC-0 WHO-0
0.000000e+00 47477096845.200005 82.317016 1047703714.457718 96330.717744 5904.345518 1022.387255 1022.387255 11927.851311 103.942704 696.075323 13086.556867 2504.848775 1686.938971 2287.591484 596.392566 11299.509144 647.511928 80.087002 12.654000 12.654000 12.654000 6.815915
3.650000e+02 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1431467.672635 5650403.455904 4895409.544525 0.005924 0.000000 0.000000 0.000000 0.000000 0.000000
7.300000e+02 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2844040.570564 3537778.760958 2254519.827492 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.095000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.071117 353831812.334993 41357672964.685608 0.000000 2063500750.787175 0.000000 16345384.772395 0.000000 1873761.874982 2579220.849758 1595827.771567 0.000000 0.000021 63670679.958680 13169261.702577 68531379.396318 0.000000
1.460000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.000006 2633575625.048294 40880983447.231583 49234.076857 5219687305.384712 70436.475535 43338685.567857 0.000000 1385265.890395 2031847.312530 1237904.432156 0.000002 0.000000 222658400.137253 223363526.880818 220774049.036615 0.000000
1.825000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.002367 10391489651.851255 60899132523.521393 195832.999391 9645283773.400663 198404.023511 73879738.655452 99042.460865 592744.720727 0.000000 958601.177068 0.000000 0.000000 398455202.917700 398798784.834687 383346487.791790 71956509.142912
2.190000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.016435 10154236541.850910 128097454067.713333 210462.405897 13396680320.724352 102941.716915 91276715.256817 353021.935040 931136.074741 1264881.241787 860959.491653 0.000000 0.000240 571836454.175169 572972589.764105 514219860.545881 234720357.624633
2.555000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.022455 13128492441.301624 356695346296.589661 1511305.530466 18699274950.280560 461792.099259 105508040.580980 959184.810285 0.000000 1247962.939135 719679.290550 0.000000 0.000000 750273513.345006 754335944.291439 285829298.225153 486889257.699315
2.920000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.021004 10619069295.079494 274860362305.523834 1585057.193839 22791980024.071526 783637.824035 122123548.178561 1049105.432908 536119.528769 1043524.127726 153827.093929 0.000000 0.000000 958906443.861862 960351668.488103 895691818.641418 820476096.654214
3.285000e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.024503 11533793780.888254 505285856581.599304 2662917.072949 21023606712.259983 271615.363629 139531488.817456 1129635.446979 0.000000 946911.951492 639738.729882 0.000107 0.000000 845784183.362577 387725621.966789 1122497584.685151 1214986972.502546
3.649500e+03 0.000000 0.000000 0.000000 0.000000 0.000000 0.026540 26778225742.466393 580384937917.584595 3008233.912640 35009535218.407913 1047743.151065 135338258.736924 286716.418675 537245.966867 822837.575139 574818.429097 0.000000 0.000341 1308236372.379874 1312350307.018094 1178898790.426026 1691549001.792285
